Avril Lavigne,Bite Me
Lauren Spencer Smith,Fingers Crossed
MacKenzie Porter,Pickup
Preston Pablo and Banx & Ranx,Flowers Need Rain
Rêve,CTRL + ALT + DEL
Shawn Mendes,When You're Gone
Tate McRae,she's all i wanna be
The Reklaws,Got It From My Mama
The Weeknd,Sacrifice
Tyler Shaw,Love You Still (abcdefu Romantic Version)
Avril Lavigne,Bite Me
Preston Pablo and Banx & Ranx,Flowers Need Rain
Shawn Mendes,When You're Gone
Tate McRae,she's all i wanna be
The Weeknd,Sacrifice
Ed Sheeran,Bad Habits
Harry Styles,As It Was
Lil Nas X,INDUSTRY BABY
Taylor Swift,Anti
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Ali Gatie,Perfect
Avril Lavigne,Bite Me
NAV,Never Sleep
Tate McRae,she's all i wanna be
The Weeknd,Take My Breath
Avril Lavigne,Bite Me
Lauren Spencer Smith,Fingers Crossed
Michael Bublé,I'll Never Not Love You
Shawn Mendes,When You're Gone
The Weeknd,Take My Breath
Arcade Fire,The Lightning I
Arkells,Reckoning
Billy Talent,The End of Me (feat. Rivers Cuomo)
Metric,All Comes Crashing
The Reklaws,Got It From My Mama
Dax,Dear Alcohol
Devon Cole,W.I.T.C.H.
Preston Pablo,FLOWERS NEED RAIN
RealestK,WFM
Rêve,CTRL + ALT + DEL
Banx & Ranx,Headphones
Harm & Ease,Cut Me Loose
Rare Americans,Moving On
Tommy Lefroy,Flight Risk
Wild Rivers,Amsterdam
Abel Tesfaye,Less Than Zero
Abel Tesfaye,Out of Time
Abel Tesfaye,Sacrifice
Faouzia,Anybody Else
Faouzia,Puppet
Faouzia,"RIP, Love"
Tate McRae,chaotic
Tate McRae,feel like shit
Tate McRae,she's all i wanna be
Tenille Townes,The Last Time (Official Lyric Video)
Tenille Townes,When You Need It
Tenille Townes,When's It Gonna Happen
TOBi,Before We Panic
TOBi,Flowers
TOBi,Move
High Valley,Whatever It Takes
Jade Eagleson,She Dont Know
Orville Peck,Cmon Baby Cry
Tenille Townes,The Last Time
The Reklaws,Got It From My Mama
Altameda,Wheel of Love
Basia Bulat,The Garden (The Garden Version)
Dan Mangan,Fire Escape
The Sadies,Stop and Start
The Weather Station,Endless Time
Alvvays,Easy On Your Own
Luna Li,Afterglow
OMBIIGIZI,Cherry Coke
PUP,Matilda
Tanya Tagaq,Tongues
Alessia Cara,Sweet Dream
Carly Rae Jepsen,Western Wind
Avril Lavigne,Bite Me
Tate McRae,she's all i wanna be
The Weeknd,Take My Breath
Alexisonfire,Sweet Dreams of Otherness
Billy Talent,The End of Me (feat. Rivers Cuomo)
Nickelback,San Quentin
The Sheepdogs,Find The Truth
Three Days Grace,So Called Life
Caity Gyorgy,I Feel Foolish
Diana Panton,Where Do You Start_Once Upon A Time
Laura Anglade and Sam Kirmayer,J'aime Paris au mois de mai
Nikki Yanofsky,Comes Love
The Ostara Project,Bye Bye Blackbird
Ernesto Cervini,Surprised By Joy
Lauren Falls,A Little Louder Now
Luis Deniz,La Ceiba de Mayuya
Rafael Zaldivar,Eleggua
Renee Roses,Kinds of Love
Andrew Rathbun Quintet,Number 1
BADBADNOTGOOD,Love Proceeding
Carn Davidson 9,Finding Home Suite
Florian Hoefner Trio,Shifting Baseline Syndrome
Mark Kelso & the Jazz Exiles,Slingshot
Canadian Brass,Both Sides Now
Esmerine,Entropy_ Incantation
Hard Rubber Orchestra,Source Code
Jean,Michel Blais
