Avril Lavigne,Bite Me,Love Sux
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed
MacKenzie Porter,Pickup,Pickup
Preston Pablo and Banx & Ranx,Flowers Need Rain,Flowers Need Rain
Rêve,CTRL + ALT + DEL,CTRL + ALT + DEL
Shawn Mendes,When You're Gone,When You're Gone
Tate McRae,she's all i wanna be,she's all i wanna be
The Reklaws,Got It From My Mama,Good Ol' Days
The Weeknd,Sacrifice,Dawn FM
Tyler Shaw,Love You Still (abcdefu Romantic Version),Love You Still (abcdefu romantic version)
Avril Lavigne,Bite Me,Love Sux
Preston Pablo and Banx & Ranx,Flowers Need Rain,Flowers Need Rain
Shawn Mendes,When You're Gone,When You're Gone
Tate McRae,she's all i wanna be,she's all i wanna be
The Weeknd,Sacrifice,Dawn FM
Ed Sheeran,Bad Habits,=
Harry Styles,As It Was,As It Was
Lil Nas X,INDUSTRY BABY,INDUSTRY BABY (feat. Jack Harlow)
Taylor Swift,Anti,Midnights
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version)
Ali Gatie,Perfect,Herzschmerz 2023
Avril Lavigne,Bite Me,Love Sux
NAV,Never Sleep,Never Sleep
Tate McRae,she's all i wanna be,she's all i wanna be
The Weeknd,Take My Breath,Dawn FM
Avril Lavigne,Bite Me,Love Sux
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed
Michael Bublé,I'll Never Not Love You,good vibes 100 happy hits
Shawn Mendes,When You're Gone,When You're Gone
The Weeknd,Take My Breath,Dawn FM
Arcade Fire,The Lightning I,WE
Arkells,Reckoning,Blink Twice
Billy Talent,The End of Me (feat. Rivers Cuomo),None Found
Metric,All Comes Crashing,Formentera
The Reklaws,Got It From My Mama,Good Ol' Days
Dax,Dear Alcohol,Dear Alcohol
Devon Cole,W.I.T.C.H.,W.I.T.C.H.
Preston Pablo,FLOWERS NEED RAIN,Flowers Need Rain
RealestK,WFM,Dreams 2 Reality
Rêve,CTRL + ALT + DEL,CTRL + ALT + DEL
Banx & Ranx,Headphones,Headphones
Harm & Ease,Cut Me Loose,Cut Me Loose
Rare Americans,Moving On,"You're Not A Bad Person, it's Just A Bad World"
Tommy Lefroy,Flight Risk,Flight Risk EP
Wild Rivers,Amsterdam,Sidelines
Abel Tesfaye,Less Than Zero,None Found
Abel Tesfaye,Out of Time,None Found
Abel Tesfaye,Sacrifice,None Found
Faouzia,Anybody Else,Breakup Songs 2023
Faouzia,Puppet,Summer Evening
Faouzia,"RIP, Love",Good Time: Just Hits
Tate McRae,chaotic,i used to think i could fly
Tate McRae,feel like shit,feel like shit
Tate McRae,she's all i wanna be,she's all i wanna be
Tenille Townes,The Last Time (Official Lyric Video),None Found
Tenille Townes,When You Need It,Masquerades
Tenille Townes,When's It Gonna Happen,When's It Gonna Happen
TOBi,Before We Panic,Before We Panic
TOBi,Flowers,Flowers
TOBi,Move,Move
High Valley,Whatever It Takes,Way Back
Jade Eagleson,She Dont Know,Honkytonk Revival
Orville Peck,Cmon Baby Cry,Bronco
Tenille Townes,The Last Time,The Last Time
The Reklaws,Got It From My Mama,Good Ol' Days
Altameda,Wheel of Love,Born Losers
Basia Bulat,The Garden (The Garden Version),The Garden
Dan Mangan,Fire Escape,Being Somewhere
The Sadies,Stop and Start,Colder Streams
The Weather Station,Endless Time,How Is It That I Should Look At The Stars
Alvvays,Easy On Your Own,Blue Rev
Luna Li,Afterglow,Duality
OMBIIGIZI,Cherry Coke,Sewn Back Together
PUP,Matilda,THE UNRAVELING OF PUPTHEBAND
Tanya Tagaq,Tongues,Tongues
Alessia Cara,Sweet Dream,Festival Season Hits 2023
Carly Rae Jepsen,Western Wind,The Loneliest Time
Avril Lavigne,Bite Me,Love Sux
Tate McRae,she's all i wanna be,she's all i wanna be
The Weeknd,Take My Breath,Dawn FM
Alexisonfire,Sweet Dreams of Otherness,Otherness
Billy Talent,The End of Me (feat. Rivers Cuomo),None Found
Nickelback,San Quentin,Get Rollin'
The Sheepdogs,Find The Truth,Outta Sight
Three Days Grace,So Called Life,EXPLOSIONS
Caity Gyorgy,I Feel Foolish,I Feel Foolish
Diana Panton,Where Do You Start_Once Upon A Time,blue
Laura Anglade and Sam Kirmayer,J'aime Paris au mois de mai,None Found
Nikki Yanofsky,Comes Love,Comes Love
The Ostara Project,Bye Bye Blackbird,The Ostara Project
Ernesto Cervini,Surprised By Joy,Joy
Lauren Falls,A Little Louder Now,A Little Louder Now
