Avril Lavigne,Bite Me,Love Sux
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed
MacKenzie Porter,Pickup,Pickup
Preston Pablo and Banx & Ranx,Flowers Need Rain,Flowers Need Rain
Rêve,CTRL + ALT + DEL,CTRL + ALT + DEL
Shawn Mendes,When You're Gone,When You're Gone
Tate McRae,she's all i wanna be,she's all i wanna be
The Reklaws,Got It From My Mama,Good Ol' Days
The Weeknd,Sacrifice,Dawn FM
Tyler Shaw,Love You Still (abcdefu Romantic Version),Love You Still (abcdefu romantic version)
Avril Lavigne,Bite Me,Love Sux
Preston Pablo and Banx & Ranx,Flowers Need Rain,Flowers Need Rain
Shawn Mendes,When You're Gone,When You're Gone
Tate McRae,she's all i wanna be,she's all i wanna be
The Weeknd,Sacrifice,Dawn FM
Ed Sheeran,Bad Habits,=
Harry Styles,As It Was,As It Was
Lil Nas X,INDUSTRY BABY,INDUSTRY BABY (feat. Jack Harlow)
Taylor Swift,Anti,Midnights
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version)
Ali Gatie,Perfect,Herzschmerz 2023
Avril Lavigne,Bite Me,Love Sux
NAV,Never Sleep,Never Sleep
Tate McRae,she's all i wanna be,she's all i wanna be
The Weeknd,Take My Breath,Dawn FM
Avril Lavigne,Bite Me,Love Sux
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed
Michael Bublé,I'll Never Not Love You,good vibes 100 happy hits
Shawn Mendes,When You're Gone,When You're Gone
The Weeknd,Take My Breath,Dawn FM
Arcade Fire,The Lightning I,WE
